"","Sex","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg"
"2079","F",122.5,62.5,150,335
"2080","F",95,57.5,107.5,260
"2081","F",117.5,72.5,152.5,342.5
"2082","M",200,160,200,560
"2083","M",167.5,112.5,200,480
"2084","M",232.5,132.5,245,610
"2085","M",285,217.5,320,822.5
"2086","M",220,150,230,600
"2087","M",165,102.5,212.5,480
"2088","M",285,165,235,685
"2089","F",107.5,55,112.5,275
"2090","M",200,122.5,202.5,525
"2091","M",231.33,102.06,213.19,546.58
"2092","F",133.81,58.97,115.67,308.44
"2093","M",310,182.5,327.5,820
"2094","F",130,75,155,360
"2095","F",130,62.5,155,347.5
"2096","M",185,140,220,545
"2097","F",130,70,147.5,347.5
"2098","M",245,182.5,245,672.5
"2099","M",230,137.5,262.5,630
"2100","M",255,160,255,670
"2101","M",328.85,201.85,306.17,836.87
"2102","F",180,112.5,200,492.5
"2103","M",160,107.5,195,462.5
"2104","F",77.5,52.5,100,230
"2105","M",265,137.5,230,632.5
"2106","M",160,100,202.5,462.5
"2107","M",310,190,287.5,787.5
"2108","M",200,142.5,247.5,590
"2109","M",200,160,180,540
"2110","F",80,60,120,260
"2111","M",260,152.5,310,722.5
"2112","M",200,155,235,590
"2113","M",187.5,150,230,567.5
"2114","F",80,52.5,120,252.5
"2115","M",300,190,285,775
"2116","M",160,90,165,415
"2117","M",280,150,260,690
"2118","M",150,115,180,445
"2119","M",185,142.5,230,557.5
"2120","M",207.5,165,217.5,590
"2121","F",62.5,37.5,102.5,202.5
"2122","M",312.98,206.38,256.28,775.64
"2123","M",220,170,250,640
"2124","M",122.5,80,150,352.5
"2125","F",205,112.5,205,522.5
"2126","F",110,45,100,255
"2127","M",215,135,250,600
"2128","M",280,185,245,710
"2129","F",175,85,152.5,412.5
"2130","M",205,120,270,595
"2131","M",202.5,125,217.5,545
"2132","M",300,182.5,265,747.5
"2133","F",107.5,57.5,127.5,292.5
"2134","M",245,142.5,242.5,630
"2135","M",310,200,260,770
"2136","F",155,85,180,420
"2137","M",260,175,215,650
"2138","M",254.01,147.42,249.48,650.91
"2139","M",302.5,212.5,330,845
"2140","M",142.5,85,145,372.5
"2141","F",102.5,52.5,115,270
"2142","M",202.5,160,222.5,585
"2143","F",160,85,155,400
"2144","F",107.5,60,120,287.5
"2145","M",350,195,335,880
"2146","M",85,62.5,137.5,285
"2147","M",242.5,110,305,657.5
"2148","M",245,125,267.5,637.5
"2149","F",110,52.5,137.5,300
"2150","M",147.5,75,145,367.5
"2151","M",210,160,250,620
"2152","M",182.5,102.5,230,515
"2153","M",220,135,210,565
"2154","M",317.51,183.7,258.55,759.77
"2155","M",125,112.5,170,407.5
"2156","F",122.5,67.5,155,345
"2157","F",72.57,65.77,95.25,233.59
"2158","M",249.48,167.83,290.3,707.6
"2159","F",140,75,177.5,392.5
"2160","F",70,47.5,95,212.5
"2161","M",225,175,240,640
"2162","F",137.5,90,182.5,410
"2163","F",115,75,145,335
"2164","F",52.5,37.5,92.5,182.5
"2165","M",210,115,217.5,542.5
"2166","M",167.5,115,185,467.5
"2167","M",182.5,132.5,200,515
"2168","M",142.5,105,182.5,430
"2169","M",237.5,150,250,637.5
"2170","M",160,120,200,480
"2171","M",365,227.5,272.5,865
"2172","M",220,145,242.5,607.5
"2173","M",140,80,175,395
"2174","M",240,135,250,625
"2175","F",137.5,95,152.5,385
"2176","F",104,50,105,259
"2177","M",215,145,260,620
"2178","M",272.5,160,230,662.5
"2179","M",180,140,210,530
"2180","F",180,97.5,142.5,420
"2181","M",295,207.5,285,787.5
"2182","M",225,130,240,595
"2183","M",165,140,235,540
"2184","F",92.5,62.5,115,270
"2185","F",197.5,132.5,192.5,522.5
"2186","M",145,92.5,172.5,410
"2187","M",260,137.5,257.5,655
"2188","M",110,97.5,182.5,390
"2189","M",155,127.5,192.5,475
"2190","M",227.5,140,262.5,630
"2191","M",312.5,193.5,312.5,818.5
"2192","M",185,142.5,217.5,545
"2193","M",255,190,282.5,727.5
"2194","M",150,130,180,460
"2195","M",220,102.5,197.5,520
"2196","F",95,45,132.5,272.5
"2197","M",237.5,135,282.5,655
"2198","M",210,150,257.5,617.5
"2199","M",237.5,155,275,667.49
"2200","M",215,122.5,230,567.5
"2201","M",150,100,215,465
"2202","M",282.5,190,285,757.5
"2203","M",201.85,136.08,219.99,557.92
"2204","M",287.5,180,247.5,715
"2205","M",295,167.5,300,762.5
"2206","F",90,60,112.5,262.5
"2207","M",200,130,230,560
"2208","M",230,177.5,245,652.5
"2209","F",65,45,97.5,207.5
"2210","F",110,70,120,300
"2211","M",175,155,215,545
"2212","M",230,130,240,600
"2213","F",100,55,102.5,257.5
"2214","F",117.93,45.36,124.74,288.03
"2215","M",207.5,120,265,592.5
"2216","M",222.5,165,217.5,605
"2217","F",65,35,100,200
"2218","M",100,110,130,340
"2219","F",50,35,65,150
"2220","M",210,160,260,630
"2221","F",155,90,145,390
"2222","M",272.5,185,310,767.5
"2223","M",227.5,115,185,527.5
"2224","F",95,45,140,280
"2225","M",240,155,250,645
"2226","M",217.5,122.5,215,555
"2227","M",227.5,162.5,275,665
"2228","M",302.5,170,317.5,790
"2229","M",237.5,125,265,627.5
"2230","F",215,125,207.5,547.5
"2231","M",150,115,210,475
"2232","M",187.5,115,220,522.5
"2233","M",245,172.5,300,717.5
"2234","M",227.5,160,250,637.5
"2235","M",130,102.5,195,427.5
"2236","F",140,82.5,172.5,395
"2237","F",215,105,207.5,527.5
"2238","F",165,67.5,180,412.5
"2239","F",90,52.5,100,242.5
"2240","M",105,75,150,330
"2241","M",130,75,150,355
"2242","M",317.5,172.5,225,715
"2243","M",183.7,124.74,201.85,510.29
"2244","M",290,150,275,715
"2245","M",200,130,210,540
"2246","M",197.5,115,227.5,540
"2247","M",292.57,181.44,265.35,739.36
"2248","F",233.6,79.38,192.78,505.76
"2249","F",110,70,140,320
"2250","M",220,155,275,650
"2251","F",95,52.5,117.5,265
"2252","M",145,110,177.5,432.5
"2253","M",210,127.5,255,592.5
"2254","F",167.5,107.5,182.5,457.5
"2255","M",180,122.5,220,522.5
"2256","M",172.5,112.5,172.5,457.5
"2257","M",215,140,245,600
"2258","M",215,155,240,610
"2259","F",95,50,132.5,277.5
"2260","F",105,65,125,295
"2261","M",215,122.5,232.5,570
"2262","M",165,102.5,155,422.5
"2263","M",180,127.5,200,507.5
"2264","M",262.5,175,277.5,715
"2265","M",137.5,147.5,232.5,517.5
"2266","M",160,100,180,440
"2267","M",85,70,135,290
"2268","M",265,162.5,290,717.5
"2269","F",127.5,72.5,130,330
"2270","F",110,55,145,310
"2271","M",287.5,195,292.5,775
"2272","M",200,120,260,580
"2273","F",192.5,112.5,182.5,487.5
"2274","F",135,57.5,145,337.5
"2275","M",147.5,92.5,157.5,397.5
"2276","F",75,42.5,97.5,215
"2277","F",115,67.5,167.5,350
"2278","M",165,62.5,170,397.5
"2279","M",255,175,255,685
"2280","M",360,200,335,895
"2281","M",155,117.5,195,467.5
"2282","M",217.5,160,242.5,620
"2283","M",200,147.5,235,582.5
"2284","M",175,120,212.5,507.5
"2285","M",230,155,290,675
"2286","M",245,157.5,230,632.5
"2287","M",235,165,252.5,652.5
"2288","F",57.5,35,100,192.5
"2289","F",112.5,60,140,312.5
"2290","F",205,105,197.5,507.5
"2291","F",100,60,130,290
"2292","M",155,85,165,405
"2293","M",150,92.5,155,397.5
"2294","M",170,120.5,170,460.5
"2295","M",185,130,230,545
"2296","M",250,155,235,640
"2297","F",90,40,120,250
"2298","F",95,60,125,280
"2299","M",200,105,180,485
"2300","F",65,42.5,90,197.5
"2301","M",90,100,162.5,352.5
"2302","M",275,150,275,700
"2303","M",182.5,152.5,240,575
"2304","F",60,40,120,220
"2305","M",162.5,92.5,187.5,442.5
"2306","M",160,125,235,520
"2307","F",110,65,110,285
"2308","M",205,145,250,600
"2309","F",87.5,45,130,262.5
"2310","M",125,102.5,195,422.5
"2311","M",199.58,127.01,240.4,566.99
"2312","M",230,147.5,250,627.5
"2313","M",192.78,113.4,170.1,476.27
"2314","M",140.61,92.99,165.56,399.16
"2315","M",310,215,297.5,822.5
"2316","F",86.18,56.7,129.27,272.16
"2317","M",222.5,160,245,627.5
"2318","M",160,120,207.5,487.5
"2319","F",135,62.5,140,337.5
"2320","M",272.5,157.5,290,720
"2321","M",145,90,155,390
"2322","F",180,95,170,445
"2323","M",220,150,227.5,597.5
"2324","M",117.5,87.5,130,335
"2325","M",272.5,235,262.5,770
"2326","F",130,57.5,135,322.5
"2327","F",149.69,95.25,179.17,424.11
"2328","M",187.5,160,265,612.5
"2329","M",275,177.5,320,772.5
"2330","M",355,172.5,290,817.5
"2331","M",232.69,175.09,282.59,690.37
"2332","M",137.5,105,187.5,430
"2333","F",105,55,130,290
"2334","M",305,185,240,730
"2335","F",160,85,150,395
"2336","M",212.5,157.5,250,620
"2337","M",115,80,150,345
"2338","M",65.77,61.23,61.23,188.24
"2339","F",152.5,60,152.5,365
"2340","M",240,182.5,242.5,665
"2341","M",275,175,277.5,727.5
"2342","M",240,157.5,242.5,640
"2343","M",200,135,185,520
"2344","M",136.08,88.45,151.95,376.48
"2345","M",160,105,200,465
"2346","M",230,130,210,570
"2347","M",200,170,215,585
"2348","F",127.5,77.5,150,355
"2349","M",230,162.5,242.5,635
"2350","F",105,60,125,290
"2351","F",165,95,177.5,437.5
"2352","M",282.5,172.5,317.5,772.5
"2353","M",220,142.5,260,622.5
"2354","F",152.5,82.5,160,395
"2355","M",210,137.5,207.5,555
"2356","M",182.5,110,192.5,485
"2357","F",197.5,117.5,185,500
"2358","F",130,72.5,150,352.5
"2359","F",140,97.5,160,397.5
"2360","F",85,40,102.5,227.5
"2361","F",132.5,67.5,137.5,337.5
"2362","M",212.5,152.5,242.5,607.5
"2363","F",142.5,67.5,152.5,362.5
"2364","M",155,80,190,425
"2365","F",110,50,137.5,297.5
"2366","M",300,160,245,705
"2367","M",182.5,92.5,182.5,457.5
"2368","M",112.5,90,162.5,365
"2369","M",275,195,310,780
"2370","M",305,180,280,765
"2371","M",247.5,182.5,245,675
"2372","F",117.5,97.5,120,335
"2373","F",110,62.5,150,322.5
"2374","M",160,130,200,490
"2375","F",147.5,70,140,357.5
"2376","M",205,160,235,600
"2377","M",242.5,125,265,632.5
"2378","M",217.5,135,262.5,615
"2379","M",210,140,210,560
"2380","F",151.95,77.11,172.37,401.43
"2381","M",97.5,65,137.5,300
"2382","M",178,105,127.5,410.5
"2383","M",192.5,142.5,210,545
"2384","F",130,62.5,117.5,310
"2385","M",170,110,237.5,517.5
"2386","M",315,270,290,875
"2387","M",142.88,90.72,190.51,424.11
"2388","F",92.5,60,120,272.5
"2389","F",82.5,52.5,112.5,247.5
"2390","M",179.17,133.81,215.46,528.44
"2391","M",205,115,205,525
"2392","M",182.5,122.5,240,545
"2393","M",200,90,195,485
"2394","M",250,170,255,675
"2395","M",147.42,111.13,142.88,401.43
"2396","M",200,130,232.5,562.5
"2397","M",170,102.5,220,492.5
"2398","M",260,175,250,685
"2399","M",225,127.5,240,592.5
"2400","M",395,205,345,945
"2401","M",310,180,310,800
"2402","M",97.52,77.11,161.03,335.66
"2403","F",100,62.5,135,297.5
"2404","M",212.5,130,270,612.5
"2405","M",162.5,130,212.5,505
"2406","M",285,210,300,795
"2407","M",255,160,255,670
"2408","F",107.5,72.5,155,335
"2409","M",235,130,195,560
"2410","M",135,115,200,450
"2411","F",133.81,54.43,122.47,310.71
"2412","M",165,97.5,155,417.5
"2413","M",145,115,190,450
"2414","M",306.18,233.6,299.37,839.15
"2415","M",200,115,245,560
"2416","F",142.5,72.5,147.5,362.5
"2417","M",162.5,120,192.5,475
"2418","M",290,220,290,800
"2419","M",192.5,145,207.5,545
"2420","M",182.5,160,292.5,635
"2421","M",210,172.5,245,627.5
"2422","M",167.5,95,195,457.5
"2423","M",185,115,207.5,507.5
"2424","M",245,127.5,242.5,615
"2425","M",225,170,220,615
"2426","F",132.5,62.5,170,365
"2427","M",145,122.5,187.5,455
"2428","M",217.5,145,222.5,585
"2429","M",215,117.5,220,552.5
"2430","M",155,85,155,395
"2431","M",302.5,182.5,312.5,797.5
"2432","F",137.5,75,162.5,375
"2433","M",192.5,115,185,492.5
"2434","F",137.5,85,170,392.5
"2435","M",158.76,88.45,183.7,430.91
"2436","M",145.15,124.74,181.44,451.32
"2437","M",145,105,180,430
"2438","M",240,160,245,645
"2439","M",204.12,142.88,242.67,589.67
"2440","F",197.5,100,190,487.5
"2441","M",320,212.5,330,862.5
"2442","F",92.5,57.5,120,270
"2443","M",174.63,133.81,219.99,528.44
"2444","M",170,122.5,200,492.5
"2445","M",200,150,205,555
"2446","M",160,97.5,207.5,465
"2447","M",255,165,240,660
"2448","M",150,92.5,150,392.5
"2449","M",172.5,115,205,492.5
"2450","F",175,135,160,470
"2451","M",185,92.5,205,482.5
"2452","F",100,50,100,250
"2453","F",160,72.5,162.5,395
"2454","M",217.72,131.54,254.01,603.28
"2455","M",135,92.5,182.5,410
"2456","M",190,117.5,227.5,535
"2457","F",140,82.5,170,392.5
"2458","M",260,190,235,685
"2459","M",252.5,155,180,587.5
"2460","M",250,182.5,250,682.5
"2461","M",165,102.5,190,457.5
"2462","F",145,85,170,400
"2463","M",120,110,155,385
"2464","M",180,125,170,475
"2465","M",272.5,167.5,247.5,687.5
"2466","M",252.5,187.5,272.5,712.5
"2467","M",305,187.5,325,817.5
"2468","M",227.5,125,247.5,600
"2469","M",160,102.5,220,482.5
"2470","F",117.93,63.5,124.74,306.17
"2471","M",152.5,107.5,175,435
"2472","M",217.5,145,217.5,580
"2473","F",145,77.5,145,367.5
"2474","M",240,25,240,505
"2475","M",252.5,147.5,257.5,657.5
"2476","M",170,92.5,227.5,490
"2477","F",140,72.5,127.5,340
"2478","M",160,105,197.5,462.5
"2479","M",210,182.5,227.5,620
"2480","F",97.5,52.5,130,280
"2481","F",187.5,127.5,185,500
"2482","M",250,210,210,670
"2483","M",225,122.5,247.5,595
"2484","M",165,95,170,430
"2485","M",337.5,177.5,325,840
"2486","M",165,105,195,465
"2487","M",130,92.5,165,387.5
"2488","M",160,110,180,450
"2489","M",217.72,106.59,199.58,523.9
"2490","M",185,155,215,555
"2491","F",127.5,62.5,132.5,322.5
"2492","M",200,130,230,560
"2493","M",192.5,145,240,577.5
"2494","M",187.5,127.5,205,520
"2495","M",170,90,180,440
"2496","F",123,87.5,163,373.5
"2497","F",77.5,50,100,227.5
"2498","F",130,92.5,137.5,360
"2499","F",125,68,152.5,345
"2500","M",205,155,245,605
"2501","M",227.5,125,215,567.5
"2502","M",140,105,170,415
"2503","M",325,215,270,810
"2504","M",240,140,240,620
"2505","M",180,140,215,535
"2506","M",190,132.5,215,537.5
"2507","F",90,57.5,151,298.5
"2508","F",70,60,107.5,237.5
"2509","F",83.91,49.9,106.59,240.4
"2510","M",280,155,225,660
"2511","M",190,115,227.5,532.5
"2512","M",185,110,200,495
"2513","F",140,75,132.5,347.5
"2514","M",170,110,205,485
"2515","M",142.5,122.5,142.5,407.5
"2516","M",187.5,117.5,200,505
"2517","M",200,151,240,591
"2518","F",110,72.5,157.5,340
"2519","M",226.8,151.95,265.35,644.1
"2520","M",165,127.5,182.5,475
"2521","M",205,115,222.5,542.5
"2522","M",295,190,275,760
"2523","M",175,105,220,500
"2524","F",122.5,55,140,317.5
"2525","M",195,127.5,210,532.5
"2526","M",145,95,165,405
"2527","F",100,47.5,125,272.5
"2528","M",70,70,120,260
"2529","M",165,105,170,440
"2530","F",116,70,120,306
"2531","M",237.5,165,272.5,675
"2532","F",195,82.5,185,462.5
"2533","M",223,165.5,215,603.5
"2534","M",410,262.5,245,917.5
"2535","F",100,50,110,260
"2536","M",155,90,240,485
"2537","F",132.5,77.5,132.5,342.5
"2538","M",220,147.5,232.5,600
"2539","M",315,250,275,840
"2540","M",192.5,107.5,190,490
"2541","M",202.5,105,197.5,505
"2542","M",220,145,245,610
"2543","M",281.23,156.49,247.21,684.93
"2544","F",160,72.5,147.5,380
"2545","M",197.5,127.5,212.5,537.5
"2546","F",125,70,130,325
"2547","M",220,147.5,227.5,595
"2548","F",122.5,72.5,145,340
"2549","M",230,142.5,235,607.5
"2550","M",160,130,190,480
"2551","M",252.5,185,282.5,720
"2552","F",95,45,110,250
"2553","M",202.5,115,260,577.5
"2554","M",165,115,195,475
"2555","M",207.5,132.5,217.5,557.5
"2556","M",370,220,320,910
"2557","M",95,65,110,270
"2558","M",180,102.5,225,507.5
"2559","M",275,155,280,710
"2560","F",90,45,100,235
"2561","F",127.5,62.5,117.5,307.5
"2562","F",142.5,70,182.5,395
"2563","M",167.5,110,192.5,470
"2564","F",151.95,72.57,111.13,335.66
"2565","M",210,190,230,630
"2566","F",112.5,42.5,142.5,297.5
"2567","M",310,182.5,290,782.5
"2568","M",215,125,252.5,592.5
"2569","M",225,130,240,595
"2570","M",231.33,176.9,222.26,630.49
"2571","M",232.5,165,260,657.5
"2572","M",200,142.5,227.5,570
"2573","F",102.06,77.11,120.2,299.37
"2574","F",157.5,70,170,397.5
"2575","F",90,55,120,265
"2576","M",157.5,100,185,442.5
"2577","M",176.9,124.74,204.12,505.76
"2578","M",200,182.5,217.5,600
"2579","M",155,115,207.5,477.5
"2580","M",320,165,315,800
"2581","M",165,110,210,485
"2582","F",122.5,72.5,125,320
"2583","M",240,155,280,675
"2584","F",220,115,212.5,547.5
"2585","M",137.5,107.5,190,435
"2586","M",97.5,102.5,140,340
"2587","M",192.5,140,215,547.5
"2588","M",147.5,80,165,392.5
"2589","M",292.5,207.5,325,825
"2590","F",70,52.5,115,237.5
"2591","F",122.5,70,155,347.5
"2592","M",170.1,117.93,195.04,483.08
"2593","M",210,140,255,605
"2594","M",130.5,70,155,355.5
"2595","M",225,140,240,605
"2596","M",235,165,220,620
"2597","M",220,142.5,195,557.5
"2598","M",195,115,202.5,512.5
"2599","F",105,57.5,125,287.5
"2600","M",285.76,185.97,265.35,737.09
"2601","F",83.91,70.31,138.35,292.57
"2602","M",150,125,175,450
"2603","M",147.42,83.91,154.22,385.55
"2604","F",112.5,52.5,137.5,302.5
"2605","M",205,140,220,565
"2606","M",165,127.5,215,507.5
"2607","M",227.5,150,252.5,630
"2608","M",240,142.5,290,672.5
"2609","F",70,32.5,112.5,215
"2610","F",155,77.5,162.5,395
"2611","M",157.5,90,180,427.5
"2612","F",145,67.5,172.5,385
"2613","M",205,185,220,610
"2614","F",122.5,67.5,135,325
"2615","F",150,87.5,155,392.5
"2616","M",113,90,150,353
"2617","F",180,105,197.5,482.5
"2618","M",180,120,192.5,492.5
"2619","F",137.5,65,182.5,385
"2620","F",147.5,80,165,392.5
"2621","M",235,165,240,640
"2622","F",80,60,120,260
"2623","M",200,137.5,247.5,585
"2624","M",125,95,180,400
"2625","M",217.5,140,242.5,600
"2626","M",175,100,170,445
"2627","F",95,47.5,117.5,260
"2628","M",207.5,117.5,255,580
"2629","M",205,147.5,215,567.5
"2630","M",170,145,240,555
"2631","M",260,150,242.5,652.5
"2632","F",95,67.5,152.5,315
"2633","M",217.5,147.5,265,630
"2634","M",162.5,90,152.5,405
"2635","M",127.5,85,177.5,390
"2636","F",150,92.5,170,412.5
"2637","F",157.4,59.87,152.41,369.68
"2638","M",190,142.5,195,527.5
"2639","M",220,157.5,247.5,625
"2640","M",102.5,85,125,312.5
"2641","F",122.5,67.5,135,325
"2642","F",140,65,140,345
"2643","F",120,50,120,290
"2644","F",117.5,67.5,147.5,332.5
"2645","F",87.5,57.5,105,250
"2646","M",185,145,210,540
"2647","F",112.5,52.5,127.5,292.5
"2648","M",295,157.5,320,772.5
"2649","M",145,90,172.5,407.5
"2650","M",240.4,120.2,206.38,566.99
"2651","F",90,55,130,275
"2652","F",142.5,65,142.5,350
"2653","F",132.5,67.5,150,350
"2654","F",87.5,37.5,112.5,237.5
"2655","F",85,62.5,132.5,280
"2656","F",92.5,62.5,140,295
"2657","M",285,167.5,300,752.5
"2658","M",222.5,135,230,587.5
"2659","F",97.5,60,100,257.5
"2660","M",315,237.5,275,827.5
"2661","M",340,70,182.5,592.5
"2662","F",130,62.5,142.5,335
"2663","F",105,57.5,132.5,295
"2664","M",257.5,142.5,250,650
"2665","M",250,140,262.5,652.5
"2666","M",155,102.5,192.5,450
"2667","M",167.5,110,225,502.5
"2668","M",280,185,240,705
"2669","M",230.5,155,250,635.5
"2670","F",147.42,77.11,145.15,369.68
"2671","M",165,132.5,142.5,440
"2672","M",227.5,125,245,597.5
"2673","M",392.5,307.5,265,965
"2674","M",155,127.5,185,467.5
"2675","M",205,145,255,605
"2676","F",120.2,77.11,165.56,362.87
"2677","M",237.5,162.5,250,650
"2678","M",215,172.5,292.5,680
"2679","F",137.5,80,142.5,360
"2680","M",165,100,242.5,507.5
"2681","M",337.5,205,325,867.5
"2682","M",190,115,205,510
"2683","F",104.33,65.77,138.35,308.44
"2684","F",98,52.5,107.5,258
"2685","M",137.5,77.5,162.5,377.5
"2686","F",185,127.5,170,482.5
"2687","M",100,62.5,132.5,295
"2688","F",72.5,50,105,227.5
"2689","M",165,125,212.5,502.5
"2690","F",82.5,50,140,272.5
"2691","M",205,155,220,580
"2692","M",215,132.5,217.5,565
"2693","M",247.5,155,265,667.5
"2694","F",137.5,77.5,137.5,352.5
"2695","M",255,140,265,660
"2696","M",235,155,260,650
"2697","M",215,125,205,545
"2698","M",235,127.5,295,657.5
"2699","M",220,170,220,610
"2700","M",230,145,217.5,592.5
"2701","M",105,85,130,320
"2702","M",285,185,285,755
"2703","M",180,90,200,470
"2704","M",210,157.5,257.5,625
"2705","M",195,125,215,535
"2706","M",212.5,145,230,587.5
"2707","M",245,152.5,257.5,655
"2708","M",155,110,162.5,427.5
"2709","F",120,62.5,160,342.5
"2710","M",200,177.5,267.5,645
"2711","F",145,67.5,168,380.5
"2712","F",85,42.5,120,247.5
"2713","M",230,125,240,595
"2714","M",210,175,195,580
"2715","F",107.5,65.5,115,288
"2716","M",340.19,204.12,274.42,818.73
"2717","F",95,50,110,255
"2718","M",180,142.5,205,527.5
"2719","M",325,260,285,870
"2720","F",125,75,115,315
"2721","F",80,70,125,275
"2722","M",257.5,137.5,232.5,627.5
"2723","M",197.5,115,215,527.5
"2724","M",165,95,195,455
"2725","M",152.5,105,215,472.5
"2726","M",212.5,157.5,240,610
"2727","F",195,110,182.5,487.5
"2728","M",210,130,240,580
"2729","M",295,162.5,305,762.5
"2730","M",265,187.5,297.5,750
"2731","M",230,150,300,680
"2732","M",165,105,190,460
"2733","M",310,180,277.5,767.5
"2734","M",155,127.5,197.5,480
"2735","M",230,190,260,680
"2736","F",115,60,152.5,327.5
"2737","M",317.5,162.5,262.5,742.5
"2738","M",74.84,54.43,106.59,235.87
"2739","M",220,147.5,230,597.5
"2740","M",265.4,172.4,240.4,678.2
"2741","F",115,80,172.5,367.5
"2742","F",155,87.5,155,397.5
"2743","M",155,95,182.5,432.5
"2744","M",270,195,300,765
"2745","M",290,210,330,830
"2746","F",110,77.5,127.5,315
"2747","F",104.33,40.82,111.13,256.28
"2748","M",192.5,130,207.5,530
"2749","F",127.01,49.9,136.08,312.98
"2750","M",165,112.5,185,462.5
"2751","F",72.5,47.5,110,230
"2752","M",137.5,87.5,146,371
"2753","M",205,195,200,600
"2754","M",225,150,225,600
"2755","F",195,107.5,167.5,470
"2756","M",202.5,140,230,572.5
"2757","F",122.5,62.5,140,325
"2758","M",112.5,62.5,142.5,317.5
"2759","F",105,72.5,127.5,305
"2760","M",177.5,87.5,202.5,467.5
"2761","M",270,192.5,282.5,745
"2762","M",142.5,77.5,142.5,362.5
"2763","M",120,100,140,360
"2764","M",175,115,222.5,512.5
"2765","M",290,205,267.5,762.5
"2766","M",262.5,180,282.5,725
"2767","F",160,77.5,162.5,400
"2768","F",185.5,125,183,493.5
"2769","F",175,95,175,445
"2770","M",110,80,150,340
"2771","F",75,37.5,105,217.5
"2772","F",82.5,52.5,127.5,262.5
"2773","M",205,140,232.5,577.5
"2774","F",200,132.5,185,517.5
"2775","M",155,115,167.5,437.5
"2776","M",200,147.5,235,582.5
"2777","M",232.5,142.5,285,660
"2778","M",195,107.5,225,527.5
"2779","M",185,112.5,185,482.5
"2780","M",165,120,185,470
"2781","M",270,180,270,720
"2782","M",300,252.5,295,847.5
"2783","M",247.5,162.5,272.5,682.5
"2784","M",226.8,183.7,249.48,659.98
"2785","M",205,137.5,307.5,650
"2786","F",75,42.5,100,217.5
"2787","F",140,70,147.5,357.5
"2788","M",150,120,220,490
"2789","M",155,85,205,445
"2790","M",295,192.5,310,797.5
"2791","M",242.67,158.76,199.58,601.01
"2792","M",220,147.5,250,617.5
"2793","M",240,145,267.5,652.5
"2794","F",162.5,102.5,150,415
"2795","M",300,187.5,250,737.5
"2796","M",162.5,112.5,132.5,407.5
"2797","M",265,182.5,260,707.5
"2798","M",235,167.5,240,642.5
"2799","M",212.5,125,207.5,545
"2800","F",125,70,142.5,337.5
"2801","M",102.5,65,135,302.5
"2802","M",285,180,260,725
"2803","F",81.65,40.82,120.2,242.67
"2804","F",160,75,140,375
"2805","F",175,90,167.5,432.5
"2806","F",135,85,137.5,357.5
"2807","F",127.5,82.5,155,365
"2808","M",222.5,140,225,587.5
"2809","M",215,170,205,590
"2810","M",262.5,165,272.5,700
"2811","M",260,200,300,760
"2812","F",132.5,62.5,145,340
"2813","F",90.72,43.09,92.99,226.8
"2814","F",110,67.5,140,317.5
"2815","M",152.5,77.5,145,375
"2816","M",245,160,190,595
"2817","F",122.5,77.5,142.5,342.5
"2818","M",310,185,270,765
"2819","M",235,145,235,615
"2820","M",235,155,250,640
"2821","M",240,182.5,270,692.5
"2822","M",390,322.5,287.5,1000
"2823","F",115,55,132.5,302.5
"2824","M",215,142.5,280,637.5
"2825","F",122.5,65,135,322.5
"2826","M",250,180,270,700
"2827","M",160,125,180,465
"2828","F",87.5,55,110,252.5
"2829","M",225,145,220,590
"2830","M",160,120,190,470
"2831","F",80,52.5,107.5,240
"2832","F",104.33,54.43,111.13,269.89
"2833","F",127.5,62.5,145,335
"2834","M",200,140,240,580
"2835","M",210,165,240,615
"2836","F",138.35,77.11,151.95,367.41
"2837","M",265,182.5,257.5,705
"2838","M",170,112.5,210,492.5
"2839","M",137.5,70,137.5,345
"2840","M",305,192.5,300,797.5
"2841","F",150,97.5,172.5,420
"2842","F",127.5,67.5,165,360
"2843","M",185,155,225,565
"2844","M",215,140,250,605
"2845","M",320,205,277.5,802.5
"2846","F",95,40,102.5,237.5
"2847","F",177.5,100,202.5,480
"2848","M",140,95,170,405
"2849","M",180,110,162.5,452.5
"2850","F",120,62.5,170,352.5
"2851","M",215,147.5,240,602.5
"2852","M",80,67.5,115,262.5
"2853","M",170,90,207.5,467.5
"2854","F",212.5,125,170,507.5
"2855","M",105,82.5,150,337.5
"2856","M",165,112.5,185,462.5
"2857","F",95,50,132.5,277.5
"2858","M",125,97.5,152.5,375
"2859","M",175,125,215,515
"2860","F",90,60,105,255
"2861","M",197.31,127.01,219.99,544.31
"2862","F",125,52.5,145,322.5
"2863","F",117.5,90,190,397.5
"2864","M",190,100,215,505
"2865","M",202.5,100,190,492.5
"2866","F",92.5,55,140,287.5
"2867","F",170,92.5,167.5,430
"2868","M",250,165,220,635
"2869","F",75,60,120,255
"2870","M",140,127.5,182.5,450
"2871","M",187.5,127.5,257.5,572.5
"2872","M",197.5,70,152.5,420
"2873","M",230,120,237.5,587.5
"2874","M",245,155,245,645
"2875","M",195,152.5,235,582.5
"2876","M",176.9,70.3,172.4,419.6
"2877","M",192.5,110,250,552.5
"2878","M",135,92.5,180,407.5
"2879","F",127.5,72.5,142.5,342.5
"2880","M",225,160,250,635
"2881","M",175,112.5,195,482.5
